(-6.270653,  1.473859,  -3.566013),  (0.378585,  0.943189)
(-6.649155,  0.746715,  3.791708),  (0.338332,  0.786199)
(-6.251901,  0.616617,  -3.945917),  (0.331130,  0.951295)
(-6.362744,  3.107308,  -4.051272),  (0.469009,  0.953543)
(-6.661608,  3.120585,  3.595086),  (0.469744,  0.790394)
(-6.316699,  2.290584,  -3.808643),  (0.423797,  0.948366)
(-6.204167,  4.841943,  -3.807327),  (0.565035,  0.948338)
(-6.602108,  4.023362,  3.632342),  (0.519720,  0.789599)
(-6.283455,  3.974626,  -3.929300),  (0.517022,  0.950941)
(-6.494597,  7.617592,  -3.882026),  (0.718689,  0.949932)
(-6.517015,  6.251825,  3.878052),  (0.643083,  0.784357)
(-6.349382,  6.229768,  -3.844676),  (0.641862,  0.949135)
(-6.793778,  10.194045,  -3.920327),  (0.861316,  0.950749)
(-6.916886,  10.126039,  4.422382),  (0.857551,  0.772742)
(-6.644188,  8.905818,  -3.901177),  (0.790002,  0.950341)
(-7.122200,  11.820122,  -3.727127),  (0.951332,  0.946627)
(-6.927089,  11.765538,  4.433495),  (0.948310,  0.772505)
(-6.793778,  10.194045,  -3.920327),  (0.861316,  0.950749)
(-4.503314,  3.170458,  5.124786),  (0.190739,  0.188121)
(4.935507,  1.445221,  5.374634),  (0.095484,  0.023646)
(-4.973370,  1.633513,  5.084665),  (0.105880,  0.196312)
(-4.972796,  5.913489,  5.080848),  (0.342188,  0.196302)
(4.899446,  4.552542,  5.363919),  (0.267047,  0.024274)
(-4.865484,  5.286499,  5.090891),  (0.307571,  0.194432)
(-5.801584,  11.843963,  5.238154),  (0.669625,  0.210744)
(4.947827,  10.455289,  5.314839),  (0.592952,  0.023431)
(-5.616375,  10.348042,  5.207733),  (0.587031,  0.207517)
(-5.209897,  7.447249,  5.130366),  (0.426871,  0.200434)
(-5.310262,  8.096488,  5.151327),  (0.462717,  0.202183)
(4.960552,  7.525469,  5.347810),  (0.431190,  0.023209)
(6.829356,  -0.184139,  -4.764906),  (0.914452,  0.743595)
(6.179090,  -0.184139,  4.394963),  (0.914452,  0.548955)
(6.412205,  2.049161,  -4.647795),  (0.791329,  0.741107)
(6.002808,  5.561193,  4.446686),  (0.597708,  0.547856)
(5.892432,  7.399858,  4.508162),  (0.496342,  0.546549)
(6.217234,  5.541149,  -4.650816),  (0.598813,  0.741171)
(5.782055,  9.238521,  4.569637),  (0.394975,  0.545243)
(6.608060,  10.328547,  -4.378250),  (0.334881,  0.735379)
(6.329823,  9.280536,  -4.256479),  (0.392659,  0.732791)
(6.136104,  12.020624,  -3.974503),  (0.241596,  0.726800)
(6.762641,  10.976605,  -4.496511),  (0.299153,  0.737892)
(5.810043,  11.960377,  4.314965),  (0.244918,  0.550655)
(-4.979151,  2.319590,  -5.454428),  (0.205721,  0.410343)
(-5.012223,  1.131484,  -5.502029),  (0.206301,  0.344347)
(5.319561,  2.255268,  -5.446624),  (0.025173,  0.406770)
(5.288763,  7.637115,  -5.131220),  (0.025713,  0.705718)
(-5.091117,  8.900171,  -5.316315),  (0.207684,  0.775878)
(-5.392509,  7.638469,  -5.300288),  (0.212968,  0.705793)
(-4.975033,  10.341024,  -5.555461),  (0.205649,  0.855913)
(-4.789725,  10.161873,  -5.332343),  (0.202400,  0.845962)
(5.296752,  10.296133,  -5.477206),  (0.025573,  0.853420)
(-5.543333,  11.820457,  -5.636063),  (0.215612,  0.938092)
(-5.112448,  10.945904,  -5.489516),  (0.208058,  0.889513)
(3.712923,  11.866326,  -5.488428),  (0.053339,  0.940640)
(6.085552,  10.851562,  4.771751),  (0.306047,  0.540949)
(6.762641,  10.976605,  -4.496511),  (0.299153,  0.737892)
(6.608060,  10.328547,  -4.378250),  (0.334881,  0.735379)
(5.194147,  10.946015,  -5.375613),  (0.027371,  0.889519)
(-4.975033,  10.341024,  -5.555461),  (0.205649,  0.855913)
(5.296752,  10.296133,  -5.477206),  (0.025573,  0.853420)
(-5.455652,  5.024373,  -5.340983),  (0.214074,  0.560587)
(-5.217401,  3.671981,  -5.397705),  (0.209898,  0.485465)
(5.259477,  5.019239,  -5.214441),  (0.026226,  0.560302)
(6.002808,  5.561193,  4.446686),  (0.597708,  0.547856)
(6.217234,  5.541149,  -4.650816),  (0.598813,  0.741171)
(5.932615,  3.821782,  4.452366),  (0.693603,  0.547735)
(-6.715668,  -0.184139,  4.767153),  (0.005523,  0.226672)
(-6.577537,  0.495090,  4.705699),  (0.043025,  0.224265)
(-6.402618,  -0.184139,  4.996371),  (0.005523,  0.221217)
(-6.054310,  0.621408,  4.954292),  (0.926990,  0.414455)
(-6.286194,  0.512282,  4.965223),  (0.929541,  0.421205)
(-6.513673,  0.617467,  4.487175),  (0.939678,  0.414248)
(-6.422220,  0.821250,  4.993758),  (0.342458,  0.760551)
(-6.054310,  0.621408,  4.954292),  (0.331395,  0.761393)
(-6.624750,  0.806026,  4.711707),  (0.341615,  0.766569)
(-6.624750,  0.806026,  4.711707),  (0.341615,  0.766569)
(-6.593056,  1.284335,  4.781703),  (0.368093,  0.765076)
(-6.422220,  0.821250,  4.993758),  (0.342458,  0.760551)
(-5.969877,  1.457149,  4.954114),  (0.705679,  0.993719)
(-6.386762,  1.291989,  5.023017),  (0.700553,  0.983216)
(-6.533246,  1.421677,  4.493077),  (0.691737,  0.993489)
(-6.533246,  1.421677,  4.493077),  (0.094184,  0.223494)
(-6.230545,  1.677384,  4.983393),  (0.108302,  0.218219)
(-5.969877,  1.457149,  4.954114),  (0.096142,  0.213677)
