(-1.683922,  -4.527827,  -12.613571),  (0.909961,  0.770881)
(1.683922,  -4.527827,  -12.613571),  (0.955151,  0.770880)
(-1.683922,  4.527822,  -12.613571),  (0.909960,  0.761243)
(1.683922,  4.527822,  -12.613571),  (0.955151,  0.761243)
(-1.683922,  -4.527827,  32.693542),  (0.909960,  0.750534)
(1.683922,  -4.527827,  32.693542),  (0.955151,  0.750534)
(-1.683922,  4.527822,  32.693542),  (0.909960,  0.740896)
(1.683922,  4.527822,  32.693542),  (0.955151,  0.740896)
(-1.683922,  -4.527827,  -16.113571),  (0.180005,  0.018351)
(1.683922,  -4.527827,  -16.113571),  (0.389521,  0.029858)
(-1.683922,  3.713729,  -16.113571),  (0.418625,  0.042983)
(1.683922,  3.713729,  -16.113571),  (0.209109,  0.031476)
(-1.683922,  -4.896358,  -19.613571),  (0.195984,  0.060579)
(1.683922,  -4.896358,  -19.613571),  (0.222234,  0.002372)
(-1.683922,  2.810477,  -19.613571),  (0.197911,  0.026426)
(1.683922,  2.810477,  -19.613571),  (0.198097,  0.002373)
(-1.683922,  -5.723849,  -24.813572),  (0.378324,  0.024808)
(1.683922,  -5.723849,  -24.813572),  (0.180006,  0.042488)
(-1.683922,  2.377731,  -24.813572),  (0.384471,  0.041056)
(1.683922,  2.377731,  -24.813572),  (0.400719,  0.034908)
(-1.383922,  -4.227827,  -24.913574),  (0.394571,  0.018661)
(1.383922,  -4.227827,  -24.913574),  (0.238212,  0.020464)
(-1.383922,  1.255351,  -24.913574),  (0.220306,  0.036526)
(1.383922,  1.255351,  -24.913574),  (0.220120,  0.060579)
(-1.383922,  -4.227827,  -36.213577),  (0.214159,  0.020279)
(1.383922,  -4.227827,  -36.213577),  (0.204059,  0.042673)
(-1.383922,  1.255351,  -36.213577),  (0.194358,  0.037058)
(1.383922,  1.255351,  -36.213577),  (0.383940,  0.015107)
(-0.803682,  -4.727827,  -29.321793),  (0.404272,  0.024277)
(0.803682,  -4.727827,  -29.321793),  (0.214690,  0.046227)
(-0.803682,  -4.727827,  -36.238358),  (0.203527,  0.016725)
(0.803682,  -4.727827,  -36.238358),  (0.374770,  0.035440)
(-0.803682,  -7.827827,  -32.197670),  (0.395103,  0.044610)
(0.803682,  -7.827827,  -32.197670),  (0.223860,  0.025895)
(-0.803682,  -7.827827,  -36.238358),  (0.813798,  0.614385)
(0.803682,  -7.827827,  -36.238358),  (0.813799,  0.658612)
(-0.803682,  -10.427828,  -33.505737),  (0.810419,  0.614385)
(0.803682,  -10.427828,  -33.505737),  (0.810420,  0.658612)
