start : (528.000000, 280.000000)   end : (532.000000, 282.000000)   height : 2.000000
start : (398.000000, 199.000000)   end : (402.000000, 201.000000)   height : 2.000000
start : (448.000000, 309.000000)   end : (452.000000, 311.000000)   height : 2.000000
start : (463.000000, 309.000000)   end : (467.000000, 311.000000)   height : 2.000000
start : (478.000000, 309.000000)   end : (482.000000, 311.000000)   height : 2.000000
start : (493.000000, 309.000000)   end : (497.000000, 311.000000)   height : 2.000000
start : (448.000000, 317.000000)   end : (452.000000, 319.000000)   height : 2.000000
start : (463.000000, 317.000000)   end : (467.000000, 319.000000)   height : 2.000000
start : (478.000000, 317.000000)   end : (482.000000, 319.000000)   height : 2.000000
start : (493.000000, 317.000000)   end : (497.000000, 319.000000)   height : 2.000000
start : (448.000000, 325.000000)   end : (452.000000, 327.000000)   height : 2.000000
start : (463.000000, 325.000000)   end : (467.000000, 327.000000)   height : 2.000000
start : (478.000000, 325.000000)   end : (482.000000, 327.000000)   height : 2.000000
start : (493.000000, 325.000000)   end : (497.000000, 327.000000)   height : 2.000000
start : (448.000000, 333.000000)   end : (452.000000, 335.000000)   height : 2.000000
start : (463.000000, 333.000000)   end : (467.000000, 335.000000)   height : 2.000000
start : (478.000000, 333.000000)   end : (482.000000, 335.000000)   height : 2.000000
start : (493.000000, 333.000000)   end : (497.000000, 335.000000)   height : 2.000000
start : (448.000000, 341.000000)   end : (452.000000, 343.000000)   height : 2.000000
start : (463.000000, 341.000000)   end : (467.000000, 343.000000)   height : 2.000000
start : (478.000000, 341.000000)   end : (482.000000, 343.000000)   height : 2.000000
start : (493.000000, 341.000000)   end : (497.000000, 343.000000)   height : 2.000000
start : (448.000000, 349.000000)   end : (452.000000, 351.000000)   height : 2.000000
start : (463.000000, 349.000000)   end : (467.000000, 351.000000)   height : 2.000000
start : (478.000000, 349.000000)   end : (482.000000, 351.000000)   height : 2.000000
start : (493.000000, 349.000000)   end : (497.000000, 351.000000)   height : 2.000000
start : (448.000000, 357.000000)   end : (452.000000, 359.000000)   height : 2.000000
start : (463.000000, 357.000000)   end : (467.000000, 359.000000)   height : 2.000000
start : (478.000000, 357.000000)   end : (482.000000, 359.000000)   height : 2.000000
start : (493.000000, 357.000000)   end : (497.000000, 359.000000)   height : 2.000000
