(-0.523683,  0.033650,  0.011636),  (0.283812,  0.683794)
(0.026770,  0.041013,  0.642200),  (0.025025,  0.683794)
(-0.246368,  0.048899,  0.819120),  (0.025025,  0.780387)
(-0.523683,  0.033650,  0.011636),  (0.283812,  0.683794)
(-0.246368,  0.048899,  0.819120),  (0.025025,  0.780387)
(-0.796821,  0.041536,  0.188557),  (0.283812,  0.780387)
(-0.516265,  0.505736,  0.002105),  (0.720244,  0.953363)
(-0.238950,  0.520984,  0.809588),  (0.884079,  0.514422)
(0.034188,  0.513099,  0.632668),  (0.720244,  0.514422)
(-0.238950,  0.520984,  0.809588),  (0.884079,  0.514422)
(-0.516265,  0.505736,  0.002105),  (0.720244,  0.953363)
(-0.789402,  0.513621,  0.179025),  (0.884079,  0.953363)
(-0.241790,  0.517817,  0.811461),  (0.018727,  0.016209)
(-0.799559,  0.044863,  0.190298),  (0.175245,  0.302620)
(-0.249106,  0.052226,  0.820861),  (0.175245,  0.016209)
(-0.799559,  0.044863,  0.190298),  (0.175245,  0.302620)
(-0.241790,  0.517817,  0.811461),  (0.018727,  0.016209)
(-0.792243,  0.510454,  0.180898),  (0.018727,  0.302620)
(0.036235,  0.509880,  0.635136),  (0.697247,  0.285293)
(-0.244220,  0.052174,  0.821458),  (0.955704,  0.461821)
(0.028918,  0.044289,  0.644537),  (0.955704,  0.285293)
(-0.244220,  0.052174,  0.821458),  (0.955704,  0.461821)
(0.036235,  0.509880,  0.635136),  (0.697247,  0.285293)
(-0.236903,  0.517765,  0.812057),  (0.697247,  0.461821)
(0.310063,  0.501886,  0.454006),  (0.068083,  0.588063)
(-0.247706,  0.028932,  -0.167156),  (0.363396,  0.749445)
(-0.240389,  0.494523,  -0.176557),  (0.363396,  0.588063)
(-0.247706,  0.028932,  -0.167156),  (0.363396,  0.749445)
(0.310063,  0.501886,  0.454006),  (0.068083,  0.588063)
(0.302747,  0.036295,  0.463407),  (0.068083,  0.749445)
(-0.245276,  0.494576,  -0.177154),  (0.049528,  0.596066)
(-0.252593,  0.028984,  -0.167753),  (0.049528,  0.768065)
(-0.525730,  0.036870,  0.009168),  (0.167006,  0.768065)
(-0.525730,  0.036870,  0.009168),  (0.167006,  0.768065)
(-0.518414,  0.502461,  -0.000233),  (0.167006,  0.596066)
(-0.245276,  0.494576,  -0.177154),  (0.049528,  0.596066)
(-0.250546,  0.025765,  -0.165284),  (0.283812,  0.587202)
(0.299907,  0.033128,  0.465279),  (0.025025,  0.587202)
(0.026770,  0.041013,  0.642200),  (0.025025,  0.683794)
(-0.250546,  0.025765,  -0.165284),  (0.283812,  0.587202)
(0.026770,  0.041013,  0.642200),  (0.025025,  0.683794)
(-0.523683,  0.033650,  0.011636),  (0.283812,  0.683794)
(-0.243127,  0.497851,  -0.174816),  (0.884079,  0.514422)
(0.034188,  0.513099,  0.632668),  (0.720244,  0.953363)
(0.307325,  0.505214,  0.455747),  (0.884079,  0.953363)
(0.034188,  0.513099,  0.632668),  (0.720244,  0.953363)
(-0.243127,  0.497851,  -0.174816),  (0.884079,  0.514422)
(-0.516265,  0.505736,  0.002105),  (0.720244,  0.514422)
