(-0.239320,  0.139276,  0.220782),  (0.360733,  0.587086)
(-0.242774,  0.141995,  0.215267),  (0.359575,  0.589389)
(-0.245813,  0.146083,  0.223817),  (0.363571,  0.589099)
(-0.394483,  0.103582,  0.322644),  (0.424191,  0.561503)
(-0.249621,  0.099604,  0.210950),  (0.355773,  0.565223)
(-0.241564,  0.098351,  0.223298),  (0.357332,  0.570833)
(-0.410365,  0.106274,  0.311405),  (0.424912,  0.554206)
(-0.249621,  0.099604,  0.210950),  (0.355773,  0.565223)
(-0.394483,  0.103582,  0.322644),  (0.424191,  0.561503)
(-0.264787,  0.173280,  0.177502),  (0.360707,  0.610715)
(-0.256098,  0.152604,  0.193672),  (0.355269,  0.600218)
(-0.268035,  0.159492,  0.174435),  (0.354524,  0.610544)
(-0.256098,  0.152604,  0.193672),  (0.355269,  0.600218)
(-0.264787,  0.173280,  0.177502),  (0.360707,  0.610715)
(-0.250215,  0.163278,  0.200963),  (0.361340,  0.599852)
(-0.241564,  0.098351,  0.223298),  (0.357332,  0.570833)
(-0.247136,  0.113931,  0.212725),  (0.353592,  0.578613)
(-0.239515,  0.116891,  0.223594),  (0.359036,  0.578606)
(-0.247136,  0.113931,  0.212725),  (0.353592,  0.578613)
(-0.241564,  0.098351,  0.223298),  (0.357332,  0.570833)
(-0.249621,  0.099604,  0.210950),  (0.351419,  0.572397)
(-0.295442,  0.164976,  0.133813),  (0.158547,  0.508719)
(-0.528189,  0.185091,  0.228678),  (0.150627,  0.422456)
(-0.309269,  0.155403,  0.114979),  (0.149031,  0.508928)
(-0.562496,  0.165232,  0.219204),  (0.137842,  0.415518)
(-0.309269,  0.155403,  0.114979),  (0.149031,  0.508928)
(-0.528189,  0.185091,  0.228678),  (0.150627,  0.422456)
(-0.297265,  0.176740,  0.129657),  (0.361397,  0.632458)
(-0.295442,  0.164976,  0.133813),  (0.355830,  0.632034)
(-0.313243,  0.165018,  0.108311),  (0.361368,  0.643388)
(-0.313243,  0.165018,  0.108311),  (0.361368,  0.643388)
(-0.295442,  0.164976,  0.133813),  (0.355830,  0.632034)
(-0.309269,  0.155403,  0.114979),  (0.355892,  0.643440)
(-0.390878,  0.125940,  0.315457),  (0.422644,  0.571595)
(-0.241564,  0.098351,  0.223298),  (0.357332,  0.570833)
(-0.239515,  0.116891,  0.223594),  (0.359036,  0.578606)
(-0.241564,  0.098351,  0.223298),  (0.357332,  0.570833)
(-0.390878,  0.125940,  0.315457),  (0.422644,  0.571595)
(-0.394483,  0.103582,  0.322644),  (0.424191,  0.561503)
(-0.256098,  0.152604,  0.193672),  (0.355269,  0.600218)
(-0.244469,  0.153500,  0.211790),  (0.361242,  0.594088)
(-0.247780,  0.136673,  0.208559),  (0.355183,  0.589338)
(-0.244469,  0.153500,  0.211790),  (0.361242,  0.594088)
(-0.256098,  0.152604,  0.193672),  (0.355269,  0.600218)
(-0.250215,  0.163278,  0.200963),  (0.361340,  0.599852)
(-0.244469,  0.153500,  0.211790),  (0.361242,  0.594088)
(-0.242774,  0.141995,  0.215267),  (0.359575,  0.589389)
(-0.247780,  0.136673,  0.208559),  (0.355183,  0.589338)
(-0.245813,  0.146083,  0.223817),  (0.363571,  0.589099)
(-0.422368,  0.174136,  0.302906),  (0.428588,  0.593759)
(-0.418430,  0.164233,  0.313668),  (0.428217,  0.588347)
(-0.422368,  0.174136,  0.302906),  (0.428588,  0.593759)
(-0.245813,  0.146083,  0.223817),  (0.363571,  0.589099)
(-0.250215,  0.163278,  0.200963),  (0.361340,  0.599852)
(-0.250215,  0.163278,  0.200963),  (0.361340,  0.599852)
(-0.245813,  0.146083,  0.223817),  (0.363571,  0.589099)
(-0.244469,  0.153500,  0.211790),  (0.361242,  0.594088)
(-0.326279,  0.121538,  0.094773),  (0.356515,  0.662536)
(-0.317022,  0.133927,  0.106810),  (0.353325,  0.654529)
(-0.319507,  0.119600,  0.105035),  (0.351419,  0.661045)
(-0.317022,  0.133927,  0.106810),  (0.353325,  0.654529)
(-0.326279,  0.121538,  0.094773),  (0.356515,  0.662536)
(-0.322943,  0.140762,  0.097155),  (0.358806,  0.654414)
(-0.280622,  0.162995,  0.156151),  (0.354175,  0.620160)
(-0.295442,  0.164976,  0.133813),  (0.355830,  0.632034)
(-0.280179,  0.177684,  0.154174),  (0.360761,  0.621151)
(-0.280179,  0.177684,  0.154174),  (0.360761,  0.621151)
(-0.295442,  0.164976,  0.133813),  (0.355830,  0.632034)
(-0.297265,  0.176740,  0.129657),  (0.361397,  0.632458)
(-0.264787,  0.173280,  0.177502),  (0.360707,  0.610715)
(-0.422368,  0.174136,  0.302906),  (0.428588,  0.593759)
(-0.250215,  0.163278,  0.200963),  (0.361340,  0.599852)
(-0.422368,  0.174136,  0.302906),  (0.428588,  0.593759)
(-0.264787,  0.173280,  0.177502),  (0.360707,  0.610715)
(-0.448809,  0.190279,  0.278371),  (0.433266,  0.608173)
(-0.408598,  0.123553,  0.310464),  (0.210092,  0.443510)
(-0.247780,  0.136673,  0.208559),  (0.195096,  0.508914)
(-0.247136,  0.113931,  0.212725),  (0.204529,  0.509505)
(-0.247780,  0.136673,  0.208559),  (0.195096,  0.508914)
(-0.408598,  0.123553,  0.310464),  (0.210092,  0.443510)
(-0.422214,  0.146126,  0.310714),  (0.201142,  0.438405)
(-0.309269,  0.155403,  0.114979),  (0.355892,  0.643440)
(-0.317022,  0.133927,  0.106810),  (0.353325,  0.654529)
(-0.322943,  0.140762,  0.097155),  (0.358806,  0.654414)
(-0.322943,  0.140762,  0.097155),  (0.358806,  0.654414)
(-0.313243,  0.165018,  0.108311),  (0.361368,  0.643388)
