(-1.452609,  0.492786,  0.507026),  (0.333956,  0.205313)
(-1.100551,  0.504777,  -0.485216),  (0.653299,  0.083332)
(-1.079227,  0.505470,  0.503987),  (0.333956,  0.083332)
(-1.100551,  0.504777,  -0.485216),  (0.653299,  0.083332)
(-1.452609,  0.492786,  0.507026),  (0.333956,  0.205313)
(-1.473933,  0.492094,  -0.482177),  (0.653299,  0.205313)
(-1.470773,  0.429146,  -0.482175),  (0.660508,  0.418076)
(-1.449449,  0.429838,  0.507027),  (0.340803,  0.418076)
(-1.097391,  0.441830,  -0.485214),  (0.660508,  0.540056)
(-1.097391,  0.441830,  -0.485214),  (0.660508,  0.540056)
(-1.449449,  0.429838,  0.507027),  (0.340803,  0.418076)
(-1.076067,  0.442522,  0.503989),  (0.340803,  0.540056)
(-1.454229,  0.433459,  0.507065),  (0.345685,  0.406130)
(-1.478334,  0.488161,  -0.482139),  (0.665029,  0.384133)
(-1.457010,  0.488853,  0.507063),  (0.345685,  0.384133)
(-1.478334,  0.488161,  -0.482139),  (0.665029,  0.384133)
(-1.454229,  0.433459,  0.507065),  (0.345685,  0.406130)
(-1.475553,  0.432767,  -0.482138),  (0.665029,  0.406130)
(-1.057992,  0.509206,  1.496163),  (0.006666,  0.850836)
(-1.428593,  0.441128,  1.499203),  (0.086532,  0.872672)
(-1.431374,  0.496522,  1.499202),  (0.086532,  0.850836)
(-1.428593,  0.441128,  1.499203),  (0.086532,  0.872672)
(-1.057992,  0.509206,  1.496163),  (0.006666,  0.850836)
(-1.055211,  0.453812,  1.496165),  (0.006666,  0.872672)
(-1.092990,  0.445763,  -0.485251),  (0.658586,  0.580782)
(-1.071666,  0.446455,  0.503951),  (0.339242,  0.580782)
(-1.095771,  0.501157,  -0.485253),  (0.658586,  0.602779)
(-1.074447,  0.501849,  0.503950),  (0.339243,  0.602779)
(-1.095771,  0.501157,  -0.485253),  (0.658586,  0.602779)
(-1.071666,  0.446455,  0.503951),  (0.339242,  0.580782)
(-1.492693,  0.439047,  -1.474352),  (0.007138,  0.902268)
(-1.122092,  0.507125,  -1.477392),  (0.087005,  0.880432)
(-1.495473,  0.494441,  -1.474354),  (0.007138,  0.880432)
(-1.122092,  0.507125,  -1.477392),  (0.087005,  0.880432)
(-1.492693,  0.439047,  -1.474352),  (0.007138,  0.902268)
