(-7.718230,  7.924578,  -0.605401),  (0.706208,  0.988823)
(7.724024,  7.924577,  -0.605401),  (0.706208,  0.630832)
(7.724023,  3.909138,  0.741808),  (0.533375,  0.630832)
(-7.718230,  0.880347,  0.590878),  (0.469345,  0.568799)
(7.569089,  0.860445,  0.589886),  (0.469218,  0.214399)
(7.354368,  0.968358,  0.553681),  (0.464573,  0.219377)
(7.724023,  3.909138,  0.741808),  (0.533375,  0.630832)
(-7.718230,  3.909140,  0.741808),  (0.533375,  0.988823)
(-7.718230,  7.924578,  -0.605401),  (0.706208,  0.988823)
(8.130656,  5.179217,  -0.742207),  (0.298324,  0.201381)
(8.010307,  5.050422,  -0.748625),  (0.297501,  0.204171)
(8.010306,  1.034984,  0.598584),  (0.470334,  0.204171)
(-7.715254,  4.993169,  -0.781483),  (0.293286,  0.568730)
(7.721050,  4.993165,  -0.781483),  (0.293286,  0.210876)
(7.712231,  5.125843,  -0.803724),  (0.290432,  0.211081)
(-3.165903,  6.883356,  -0.174346),  (0.498667,  0.890252)
(3.171696,  6.883354,  -0.174346),  (0.351745,  0.890252)
(3.137118,  5.359048,  0.339822),  (0.352547,  0.956214)
(-3.131326,  4.480407,  0.296038),  (0.680613,  0.333804)
(3.171696,  4.487549,  0.296394),  (0.534493,  0.333758)
(3.171696,  6.018997,  -0.217418),  (0.534493,  0.399675)
(3.171696,  6.018997,  -0.217418),  (0.534493,  0.399675)
(-3.165904,  6.018997,  -0.217418),  (0.681415,  0.399675)
(-3.131326,  4.480407,  0.296038),  (0.680613,  0.333804)
(3.137118,  5.359048,  0.339822),  (0.352547,  0.956214)
(-3.165904,  5.351907,  0.339467),  (0.498667,  0.956169)
(-3.165903,  6.883356,  -0.174346),  (0.498667,  0.890252)
(-8.342213,  5.989401,  -0.731839),  (0.601055,  0.412181)
(-8.342214,  7.110873,  -0.645949),  (0.582452,  0.423199)
(-8.342214,  3.095434,  0.701260),  (0.649060,  0.596032)
(-7.706439,  7.377608,  -0.783503),  (0.900539,  0.606995)
(-7.593524,  6.104834,  -0.846927),  (0.921652,  0.604377)
(7.655169,  6.135000,  -0.845424),  (0.921151,  0.250873)
(-8.342214,  3.095434,  0.701260),  (0.649060,  0.596032)
(-8.342213,  1.694053,  0.631426),  (0.672306,  0.587073)
(-8.342213,  5.989401,  -0.731839),  (0.601055,  0.412181)
(7.724022,  1.504634,  0.772832),  (0.275287,  0.548216)
(-7.563296,  1.496968,  0.775406),  (0.275414,  0.193817)
(-7.692123,  2.614180,  0.828123),  (0.256882,  0.190830)
(7.785229,  6.694360,  -0.940286),  (0.972845,  0.235911)
(-7.660035,  6.750520,  -0.936940),  (0.971913,  0.593972)
(-7.659984,  5.479520,  -1.000000),  (0.992997,  0.593971)
(-8.176742,  1.942652,  0.653948),  (0.429019,  0.689808)
(-8.176339,  6.130726,  -0.727297),  (0.424343,  0.880082)
(-8.174937,  4.860298,  -0.790549),  (0.446921,  0.880500)
(7.753171,  5.127690,  -0.858075),  (0.516351,  0.569958)
(-7.634121,  5.079513,  -0.864096),  (0.517150,  0.213240)
(-7.634171,  6.350511,  -0.801036),  (0.496067,  0.213239)
(-8.929822,  2.070938,  0.665027),  (0.317943,  0.997114)
(-8.859388,  6.292082,  -0.746195),  (0.498988,  0.995482)
(-8.260687,  6.273849,  -0.740078),  (0.498203,  0.981602)
(8.176968,  6.052500,  -0.724937),  (0.369777,  0.338208)
