(-26.485294,  -13.074257,  3.932675),  (0.156988,  0.684036)
(41.262440,  -12.742338,  4.911666),  (0.125781,  0.999543)
(41.262440,  -13.074257,  3.932675),  (0.157096,  0.999533)
(-26.485294,  -12.742338,  4.911669),  (0.125673,  0.684047)
(41.262440,  -11.786613,  5.772579),  (0.094467,  0.999554)
(41.262440,  -12.742338,  4.911666),  (0.125781,  0.999543)
(-26.485294,  -11.786613,  5.772579),  (0.094358,  0.684057)
(41.262440,  -10.322357,  6.411571),  (0.063152,  0.999565)
(41.262440,  -11.786613,  5.772579),  (0.094467,  0.999554)
(-26.485294,  -10.322357,  6.411573),  (0.063043,  0.684068)
(41.262440,  -8.526190,  6.751573),  (0.031837,  0.999576)
(41.262440,  -10.322357,  6.411571),  (0.063152,  0.999565)
(-26.485294,  -8.526190,  6.751573),  (0.031728,  0.684079)
(41.262440,  -6.614745,  6.751570),  (0.000522,  0.999587)
(41.262440,  -8.526190,  6.751573),  (0.031837,  0.999576)
(-26.485294,  -6.614745,  6.751573),  (0.564081,  0.683897)
(41.262440,  -4.818577,  6.411571),  (0.532873,  0.999404)
(41.262440,  -6.614745,  6.751570),  (0.564188,  0.999393)
(-26.485294,  -4.818577,  6.411571),  (0.532766,  0.683907)
(41.262440,  -3.354321,  5.772579),  (0.501559,  0.999415)
(41.262440,  -4.818577,  6.411571),  (0.532873,  0.999404)
(-26.485294,  -3.354321,  5.772579),  (0.501451,  0.683918)
(41.262440,  -2.398602,  4.911666),  (0.470244,  0.999425)
(41.262440,  -3.354321,  5.772579),  (0.501559,  0.999415)
(-26.485294,  -2.398602,  4.911666),  (0.470136,  0.683929)
(41.262440,  -2.066684,  3.932675),  (0.438929,  0.999436)
(41.262440,  -2.398602,  4.911666),  (0.470244,  0.999425)
(-26.485294,  -2.066684,  3.932675),  (0.438821,  0.683939)
(41.262440,  -2.398602,  2.953681),  (0.407614,  0.999447)
(41.262440,  -2.066684,  3.932675),  (0.438929,  0.999436)
(-26.485294,  -2.398602,  2.953681),  (0.407506,  0.683950)
(41.262440,  -3.354321,  2.092768),  (0.376300,  0.999457)
(41.262440,  -2.398602,  2.953681),  (0.407614,  0.999447)
(-26.485294,  -3.354321,  2.092772),  (0.376192,  0.683961)
(41.262440,  -4.818571,  1.453777),  (0.344985,  0.999468)
(41.262440,  -3.354321,  2.092768),  (0.376300,  0.999457)
(-26.485294,  -4.818571,  1.453777),  (0.344877,  0.683971)
(41.262440,  -6.614745,  1.113775),  (0.313670,  0.999479)
(41.262440,  -4.818571,  1.453777),  (0.344985,  0.999468)
(-26.485294,  -6.614745,  1.113778),  (0.313562,  0.683982)
